SMILES,Parent,Tanimoto Similarity
C1CC(CCN1CC)C1C=CC=[N+](CCN=[N+]=[N-])C1,CCN(CC1=CC=CC[N-]1)CC1CCCC[N-]1,0.3047619047619048
C1CN(CCC1c1oc(-c2ccco2)nn1)C(C)=O,CC(=O)N1CCC(c2nnc(-c3ccoc3)o2)CC1,0.8363636363636363
c1c(ccc(c1)C)C(=O)N1CCC(C(=O)OCC(=O)Nc2ccc(cc2C)C)CC1,Cc1ccc(C(C)NC(=O)COC(=O)c2ccc(N3CCCC3=O)cc2)cc1C,0.5696969696969697
C(Cc1nc(C)no1)CNc1ncnc(Cl)c1CC,CCCc1nc(Cl)c(C)c(NCCc2ncno2)n1,0.6111111111111112
C1(C(O)c2cc3c(cc2OC)OCO3)CNC1,COc1cc2c(cc1OC)C(CNC1OC1O)C2,0.3673469387755102
c1(cc(c(cc1)OCC)OCC)-c1nc(-c2cccc(c2OC)C)no1,CCOc1cc(-c2nc(-c3cccc(C)c3)no2)cc(OCC)c1OCC,0.7417218543046358
C1CCCC(C1)NC(C(C)N1CCN(CC1)c1cccc(CCC)c1)=O,Cc1cccc(N2CCN(CCC(C)NC(=O)C3CCCCC3)CC2)c1,0.6933333333333334
C(C)OCCCNc1c(cc(cn1)C(=O)OC)NCCSC,CCCNc1cc(NCCC(=O)OCC)nc(SC)n1,0.4745762711864407
c1c(ccc(c1)C1(CC1)C(=O)N1Cc2c(CC1C=C)n(nc2)-c1cc(C(F)(F)F)cc(n1)Sc1nncn1C)F,Cn1ncc(SN2CCC3=Cc4c(cnn4-c4ccc(F)cc4)CC3(C(=O)c3cc(C(F)(F)F)ccn3)C2)n1,0.5650224215246636
c1cccc2c1c(ccc2OCC)C1(OCC)OCC1,CCOC1(OCC)CCc2ccc3ccccc3c2O1,0.6434782608695652
c1cccc(c1)CCN1CCN(c2ccc(cc2)-c2ccc(c(c2)Cl)Cl)CC1,Fc1ccc(-c2ccccc2N2CCN(CCc3ccc(Cl)c(Cl)c3)CC2)cc1,0.7951807228915663
c1cccc(c1N(CC(C)C)CC)C(O)=O,CCN(CC(C)=O)c1ccccc1C(=O)O,0.7906976744186046
c1cccc2c1nc(SC(C)C(N1CCCC1)=O)nc2-n1c(cccc1C)=O,Cc1ccnc(-n2c(SC(C)C(=O)N3CCCC3)nc3ccccc3c2=O)c1,0.7625
C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(F)(F)C(=O)NCCc1ccc(cc1)Oc1ccc2C(=O)N(C(=O)c2c1)C,Cc1ccc(ON2C(=O)c3ccc(C(=O)NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc3C2=O)cc1,0.8015873015873016
c1cccc(c1)CCN1CCC(C(=O)c2c3c([nH]c2C=Cc2ccc(cc2)OC)cccc3)OCC1,COC(=O)C=Cc1ccc2c(c1)CCC2N(CCOc1ccccc1)CCc1c[nH]c2ccccc12,0.5660377358490566
c1(cc(cc(c1)OC)OCC)-c1cn(c(=O)c2c1ncnc2)Cc1cccs1,CCOc1ccc(-c2csc3c(=O)n(Cc4ccncc4)cnc23)cc1OCC,0.5333333333333333
c1(cc(cc(c1C)C)C)-c1c(c(nc(n1)C(C)(C)C)NCc1cccnc1)C(=O)Nc1cc2c(o1)CC(O)(CO2)OC,COc1nc(NCCc2cccnc2)nc(OC)c1-c1cc(Cc2cc3c(cc2C)C(C)(C)OC3(C)C)oc1C(N)=O,0.5128205128205128
C1CCCCC1NC(=O)C1CCN(S(c2cn(C(C)C)nc2)(=O)=O)CCC1,CC(C)n1cnc(S(=O)(=O)N2CCC(C(=O)NC3CCCCCCC3)CC2)c1,0.8
c1cc(ccc1C=NNC(=O)COc1c(cc(cc1)C)Br)-c1nc(c([N+](=O)[O-])c(=O)n1C1CCCC1)-c1ccccc1C,Cc1ccccc1NC(=O)COc1ccc(C=Nn2c(C3CCCCC3)nc3ccc(Br)cc3c2=O)cc1[N+](=O)[O-],0.6527196652719666
c12c(cccc2)n(c2c1cccc2)-c1cc2c(cc1)n(C)c1c2c2c(cc1)n(CCCCCCN(C)C)c(C)n2,CCCCCCCCn1c2cc3c4ccccc4n(C)c3cc2c2cc3c(cc21)c1ccccc1n3C,0.6875
c1c(ccc(NCCCn2ccnn2)n1)NCC,CCNc1cc(NCCCn2ccnn2)ccn1,0.8113207547169812
c1cc(ccc1OC)C(=Cc1ccc(cc1)OC)c1ccc(cc1)N(C)C(=Cc1ccc(cc1)OC)c1ccc(cc1)-n1c2ccccc2cc1OC,CCn1c2ccccc2c2cc(N(C=C(c3ccc(OC)cc3)c3ccc(OC)cc3)C=C(c3ccc(OC)cc3)c3ccc(OC)cc3)ccc21,0.7540983606557377
c1(ccc(cc1C)F)S(=O)(=O)NCCCO,Cc1ccc(F)c(S(=O)(=O)NCCCO)c1,0.813953488372093
C(C(=O)C)C(=O)Nc1ccc(cc1)C=O,CC(=O)CC(=O)Nc1ccc(C=O)cc1,1.0
C(C)(C)c1cc(C(C)C)c(c(c1)C)[Al](C)c1c(c(cc(C)c1)C(C)C)[As],Cc1cc(C)c([As]=C=[GeH]c2c(C(C)C)cc(C(C)C)cc2C(C)C)c(C)c1,0.7142857142857143
c1(cc(c(cc1)OC)COc1ccc(cc1Cl)CO)F,COc1ccc(CO)c(OCc2ccc(F)cc2Cl)c1,0.75
c1(cccc(c1Cl)-n1cc(cn1)-c1c(c(NC2(CCOCC2)CNC(=O)O)ncc1)-n1cc(C)nc1)OC,COc1ccc(Cl)cc1-c1nn(CC2(O)CCOCC2)cc1NC(=O)c1c(N)nn2cccnc12,0.5263157894736842
C1(C=CC=C1)C(C)([N+]([O-])=O)C,CC1(C)C=CC=CC1[N+](=O)[O-],0.5517241379310345
C(C(NCCN(C)C)=O)(c1cc(ccc1)C)C,Cc1cccc(C(C)NCCC(=O)N(C)C)c1,0.7391304347826086
c1c(ccc(c1C(C(CN)S)=O)O)Br,CSc1ccc(Br)cc1C(CN)C(=O)O,0.5974025974025974
c1cccc(c1)-c1cc(c[nH]1)S(=O)(=O)c1cccc(OC)c1,COc1ccc(S(=O)(=O)c2ccccc2)cc1-c1ccc[nH]1,0.7301587301587301
c1c(ccc(c1)CN1C(=O)C(=C(NC1=O)c1c(cccc1OC)OC)Br)C,COc1cccc(C=C2NC(=O)N(Cc3cc(Br)ccc3OC)C2=O)c1,0.5540540540540541
C(CCCCCCCCCCCCCCCCCCC(=O)OCCSCCN(CCN(CC)CC)C(=O)OCC=C(C)C)=CC(C)C,CCCCCCC=CCOC(=O)CCCCCCCN(CCCCCCCC(=O)OCC=CCCCCCC)C(=O)SCCCN(C)CC,0.6593406593406593
C(CCCC(Nc1c(cccc1)N1CCOCC1)=O)(N(CCC)CCC)=O,CCN(CC)C(=O)C1CCC(C(=O)Nc2ccccc2N2CCOCC2)CC1,0.6624203821656051
C1CN(CCC1N1CC=CC1)C(=O)C=C,CN1CCC(C(=O)N2C=CC=CC2)CC1,0.4418604651162791
c1cccc(c1)CC(C(=O)Nc1ccc(cc1)S(=O)(=O)Nc1c2c(ccc1)[nH]nc2)c1sccn1,O=C(Nc1cccc([N+](=O)[O-])c1)C(Cc1ccccc1)NS(=O)(=O)c1cccc2nsnc12,0.5816326530612245
C1CC(CCN1c1c(c(ncn1)N1CCOCC1)OC(=O)c1cc(ccc1F)S(=O)(=O)C)OC,COCCOC(=O)N1CCC(Oc2ncnc3c2CCN3c2ccc(S(C)(=O)=O)cc2F)CC1,0.625
c1cccc2c1ccc(Oc1nccc(C(=O)O)n1)c2,O=C(O)c1cccc(Oc2cnc3ccccc3c2)n1,0.7241379310344828
c1cc(c(cc1)C)C(NC(CC)C)=O,CCC(C)NC(=O)c1ccccc1NC(=O)COc1ccc(C)c(C)c1,0.6363636363636364
C1C(CC(C)CC1N(C(=O)C=C(C)C(OC)=O)C)O,C=C(C)CC(C)C(=O)N1CCOCC1CC(=O)O,0.30612244897959184
CC(C)(C(C)(C)C)C(C)(CN(C)C)C,CN(C)CC(C)(C)C(C)(C)C(C)(C)C,1.0
C1(NNC(Br)C=1)[N+](=O)[O-],O=[N+]([O-])C1NNC=C1Br,0.5
c1cccc2c1c1c(cccc1)c1c2ccc(c1)-c1cc(-c2ccccc2)cc(-c2cccc3c2c2c(cccc2)n3-c2ccncc2)n1,c1cncc(-c2cccc(-n3nc4cc(-c5c6ccccc6c(-c6cccc7ccccc67)c6ccccc56)c5ccccc5c4n3)c2)c1,0.7006802721088435
c1cccc(c1)-n1nc(c(c1C)C(N(CCCOc1ccc(cc1)Br)C)=O)C,Cc1nn(-c2ccc(C(=O)N(C)CCCOc3ccccc3)cc2)c(C)c1Br,0.8354430379746836
c1cccc(c1)-c1nc2c(cccc2)n1-c1ccc(cc1)C(=O)N1CCN(CC1)c1nc(C)nc2c1cccc2,Cc1ccc(Cc2nc(N3CCN(C(=O)c4cccc5ccccc45)CC3)c3cnn(-c4ccccc4)c3n2)cc1,0.694560669456067
C1CC(CCC1NC(NCC(N1CCc2c(C1)c(C)nn2-c1ccccc1)=O)=NC)C,CN=C(NCc1c(C)nn(-c2ccccc2)c1C)NC1CCN(C(=O)C2CCCC2)C1,0.7078651685393258
