SMILES,log-likelihood
C1(C(C)(C)SC2N1C(C2NC(C(c1ccc(cc1)O)N)=O)=O)C(O)=O,0.10955894069418352
C1(C(NC(C(C)(O)C)C(=O)O)=O)N2C(C(N)C2Sc2c1cccc2)=O,0.07366460532171952
C1(C(NC(C(C)(O)C)C(=O)O)=O)N2C(C(N)C2Sc2ccccc21)=O,0.11349316930871167
C1(C(NC(C(C)(C)O)=O)=O)N2C(C(N)C2SC1c1ccc(O)cc1)=O,0.044363775187600075
C1(NC(C(C)(C)O)C(=O)N1C(C(=O)O)C(c1ccc(cc1)SC)N)=O,0.11336840829329786
C1(C(C(=O)O)N2C(C(C2S1)NC(=O)c1ccc(O)cc1)=O)(C)C,0.06459636640129804
C1(C(NC(C(C)(C)O)=O)=O)N2C(C(N)C2Sc2ccccc21)=O,0.037442073014201854
C1(C(NC(C(C)(O)C)=O)C(N1C(=O)O)c1ccc(cc1)SC)=O,0.19695785997146473
C1(C(NC(C(C)(O)C)C(=O)O)=O)N2C(c3c(cccc3)C2S1)=O,0.09784262665276722
c1cc(ccc1C1NC(C(C)N1C(C(C(C)O)N)=O)=O)SC(O)=O,0.13334531534047045
C1(C(NC(C(C)O)C(=O)O)=O)(C)NC(=O)N(C)C1c1ccccc1S,0.033789474866047296
c1cc(ccc1C(NC1C(N(C(C(O)=O)C)C1SC)=O)=O)N,0.12802222174841185
C1(NC(C(C)S)C(N1C(C(=O)O)C)=O)c1ccc(cc1)C(=O)N,0.14500383733345124
C1(C(C(=O)O)N(C(NC(C)C)=O)C(C1S)=O)c1ccccc1O,0.09847562904508322
C1(C(C(=O)O)N(C(=O)NC(C)C)C1=O)Sc1ccccc1C(O)N,0.06126780765426942
C1(C(NC(=O)N1C(C(O)=O)C(C)C)c1ccc(cc1)S)=O,0.07321115087847432
C1(C(NC(C(C)O)C(=O)O)=O)(C)NC(=O)N(C)c2ccccc2S1,0.049152255427117396
C1(C(C(=O)O)N(C(=O)NC(C)C)C1c1ccc(cc1)O)=S,0.07560597121157418
C1(C(NC(N1C(C(O)=O)C(C)C)=O)c1ccccc1S)=O,0.06360198562869114
C1(C(NC(N(C)C1=O)=S)c1ccc(cc1)O)C(C)(C)C(O)=O,0.13803901464995166
C1(C(C(=O)O)N(C(NC(C)C)=O)C1c1ccc(cc1)O)=S,0.07213717798825678
c1cc(ccc1C(NC1C(N(C(C)C(O)=O)C1S)=O)=O)C#N,0.12437760551328274
c1cc(ccc1C(NC1C(N(C(C(O)=O)C)C1=O)=O)C)S,0.11611106360848705
C1(C(NC(N1C(C(O)=O)C(C)C)=O)c1ccccc1S)=O,0.05240518517036515
c1cc(ccc1C(=O)O)N1C(C(C(C)C1=O)NC(=S)N)C,0.10632214727073154
c1cc(ccc1C(NC1C(N(C(C)C(O)=O)C1=O)=O)C)S,0.09943524042931425
c1cc(ccc1C1NC(=S)N(C(C)C(=O)O)C1C(=O)O)C#N,0.08830658849541648
c1cc(ccc1C1NC(N(C(C)C(O)=O)C1=O)=S)C(C)N,0.03268074281126657
C1(C(C(=O)O)N(C(NC1c1ccccc1S)=O)C(C)C)=O,0.05295419421689786
c1cc(ccc1C1NC(N(C(C)C(O)=O)C1=O)=S)C(C)N,0.0213178239703433
c1cc(ccc1C1NC(=S)N(C(C)C(O)=O)C1C(C)=O)N,0.13123616538520608
c1cc(ccc1C1NC(N(C(C)C(O)=O)C1=O)=S)C#N,0.018701098324725853
c1cc(ccc1C1NC(N(C(C)C(O)=O)C1=O)=S)C#N,0.018253441910370947
c1cc(ccc1C1NC(N(C(C)C(O)=O)C1=O)=S)C#N,0.01808576754797942
c1cc(ccc1C1NC(N(C(C)C(O)=O)C1=O)=S)C#N,0.018328991942034818
C1(C(C(=O)O)N(C(NC1c1ccccc1C#N)=O)C)C,0.1496208663244814
c1cc(ccc1C(=O)O)N1C(=S)NC(C(C)C1=O)C#N,0.16067661333320724
c1cc(ccc1C1NC(N(C(C1C#N)=O)c1ccc(cc1)C(=O)O)=S)C,0.06251443446459327
C1(C(NC(N1c1ccc(cc1)C(O)=O)=S)C(C)C#N)=O,0.11618132502842012
c1cc(ccc1C1C(C(=O)O)N(C(N1)=S)c1ccc(cc1)C(=O)C)C#N,0.06281209665736726
c1cc(ccc1C1NC(N(C(C1C)=O)c1ccc(cc1)C#C)=O)O,0.04582627122853111
c1cc(ccc1C1NC(N(C(C1C#N)=O)c1ccc(cc1)C(=O)O)=S)C,0.05720741363416504
c1cc(ccc1C(O)=O)N1C(C(C#N)C(c2ccc(cc2)C)NC1=S)=O,0.0847674433059971
c1cc(ccc1C1NC(N(C(C)C(O)=O)C1=O)=S)C#N,0.07020163985882277
c1cc(ccc1C1C(C(=O)O)N(C(N1)=S)c1ccc(cc1)C#N)C,0.07565843594381845
c1cc(ccc1C1NC(N(C1=O)c1ccc(cc1)C#N)=S)C(C)C(O)=O,0.06905163621867097
c1cc(ccc1C(O)=O)N1C(=S)NC(C1=O)C(C)c1ccc(cc1)C#N,0.020927720498855426
c1cc(ccc1C(O)=O)N1C(=S)NC(C1=O)C(C)c1ccc(cc1)C#N,0.021200014903431926
c1cccc(c1)C1N(C(NC1(C(O)=O)C)=O)c1ccc(cc1C#N)Br,0.0766462647359667
